date,BTCUSDT,ETHUSDT,BNBUSDT,LTCUSDT,ADAUSDT,NEOUSDT,XLMUSDT
2020-01-01 00:00:00,7230.71,130.18,13.8159,41.58,0.03308,8.736,0.04515
2020-01-01 04:00:00,7205.5,130.52,13.7648,41.55,0.0332,8.716,0.04493
2020-01-01 08:00:00,7195.8,130.84,13.7162,41.67,0.03321,8.791,0.04509
2020-01-01 12:00:00,7233.02,131.84,13.7958,41.89,0.03357,8.905,0.04542
2020-01-01 16:00:00,7223.72,131.98,13.727,41.79,0.03361,8.94,0.04547
2020-01-01 20:00:00,7195.65,130.52,13.6954,41.53,0.03346,8.864,0.04525
2020-01-02 00:00:00,7127.53,128.96,13.5444,41.36,0.03326,8.712,0.04469
2020-01-02 04:00:00,7114.66,129.03,13.4469,41.21,0.03303,8.715,0.04502
2020-01-02 08:00:00,7160.41,130.0,13.5094,41.35,0.03329,8.716,0.04505
2020-01-02 12:00:00,7131.26,129.1,13.381,41.11,0.03324,8.678,0.0449
2020-01-02 16:00:00,6985.45,127.61,13.0638,39.63,0.03266,8.482,0.044
2020-01-02 20:00:00,6961.8,127.22,13.0225,39.44,0.03272,8.474,0.04363
2020-01-03 00:00:00,6953.18,127.04,13.1974,39.4,0.03288,8.486,0.04371
2020-01-03 04:00:00,7207.06,129.01,13.4814,40.4,0.03359,8.75,0.04481
2020-01-03 08:00:00,7340.16,132.5,13.6304,41.67,0.03418,8.874,0.04535
2020-01-03 12:00:00,7320.77,132.31,13.6317,41.72,0.03404,8.802,0.04532
2020-01-03 16:00:00,7331.35,133.52,13.6577,41.82,0.03421,8.902,0.04542
2020-01-03 20:00:00,7345.65,133.95,13.6231,42.05,0.03403,8.894,0.04566
2020-01-04 00:00:00,7336.05,133.33,13.6616,41.9,0.03404,8.847,0.04552
2020-01-04 04:00:00,7350.92,133.82,13.7061,42.46,0.03406,8.852,0.04546
2020-01-04 08:00:00,7333.82,133.96,13.7881,42.54,0.03394,8.93,0.04556
2020-01-04 12:00:00,7320.96,133.14,13.7073,42.28,0.03411,8.88,0.04528
2020-01-04 16:00:00,7344.2,134.2,13.7443,42.65,0.03411,8.916,0.04561
2020-01-04 20:00:00,7349.45,134.02,13.7944,42.58,0.03441,8.996,0.04574
2020-01-05 00:00:00,7474.82,135.77,14.0306,43.08,0.03475,9.198,0.04579
2020-01-05 04:00:00,7467.93,135.96,14.05,43.08,0.03476,9.174,0.04566
2020-01-05 08:00:00,7437.4,135.34,13.964,43.05,0.03451,9.134,0.04553
2020-01-05 12:00:00,7455.24,137.32,14.2606,44.05,0.03497,9.224,0.04588
2020-01-05 16:00:00,7447.53,137.66,14.1806,43.88,0.03506,9.183,0.04577
2020-01-05 20:00:00,7364.19,135.23,14.0368,43.26,0.03455,9.006,0.04543
2020-01-06 00:00:00,7536.77,139.36,14.409,44.35,0.03541,9.209,0.0463
2020-01-06 04:00:00,7512.33,139.08,14.3434,44.35,0.03518,9.212,0.04647
2020-01-06 08:00:00,7537.78,141.57,14.5862,44.91,0.03601,9.563,0.04833
2020-01-06 12:00:00,7533.94,140.34,14.537,44.19,0.03585,9.432,0.04843
2020-01-06 16:00:00,7545.94,141.55,14.6419,44.92,0.03633,9.695,0.04949
2020-01-06 20:00:00,7777.53,143.98,14.9329,45.7,0.03723,9.774,0.05035
2020-01-07 00:00:00,7907.02,143.68,14.9758,45.24,0.03736,9.76,0.05001
2020-01-07 04:00:00,7877.42,142.78,14.8655,45.5,0.03759,9.663,0.04972
2020-01-07 08:00:00,7914.07,142.77,14.8842,45.65,0.03759,9.671,0.05002
2020-01-07 12:00:00,7769.55,139.32,14.5249,44.93,0.03671,9.538,0.04762
2020-01-07 16:00:00,8081.77,143.37,15.0002,46.42,0.03714,9.696,0.04831
2020-01-07 20:00:00,8174.34,142.89,15.0182,46.33,0.03704,9.801,0.04853
2020-01-08 00:00:00,8316.26,144.76,15.0009,47.73,0.03789,9.955,0.04862
2020-01-08 04:00:00,8301.65,143.6,14.9148,47.54,0.03817,9.849,0.04856
2020-01-08 08:00:00,8347.2,143.59,14.9964,47.68,0.03809,9.832,0.04881
2020-01-08 12:00:00,8310.37,141.46,14.7073,46.71,0.03731,9.705,0.04858
2020-01-08 16:00:00,7980.0,138.18,14.2846,44.66,0.03626,9.422,0.04743
2020-01-08 20:00:00,8051.97,140.89,14.5694,45.4,0.03641,9.399,0.04771
2020-01-09 00:00:00,7956.74,139.93,14.4882,45.0,0.03587,9.417,0.04783
2020-01-09 04:00:00,7965.48,139.82,14.5292,45.45,0.03607,9.397,0.04824
2020-01-09 08:00:00,7878.53,138.15,14.4245,45.04,0.03564,9.362,0.04748
2020-01-09 12:00:00,7903.35,138.15,14.4233,45.14,0.03618,9.446,0.04751
2020-01-09 16:00:00,7915.51,137.29,14.4274,44.67,0.03614,9.433,0.04768
2020-01-09 20:00:00,7824.32,138.08,14.4165,44.82,0.03615,9.372,0.04728
2020-01-10 00:00:00,7805.68,136.8,14.2679,44.64,0.03551,9.299,0.04643
2020-01-10 04:00:00,7751.2,136.53,14.2094,44.33,0.0355,9.194,0.04601
2020-01-10 08:00:00,7838.76,138.3,14.3739,45.31,0.03551,9.264,0.04672
2020-01-10 12:00:00,8056.05,142.39,14.7751,48.56,0.03664,9.615,0.0478
2020-01-10 16:00:00,8073.5,143.44,14.9454,49.02,0.03669,9.586,0.04749
2020-01-10 20:00:00,8195.0,144.32,15.0422,49.07,0.03688,9.899,0.04795
2020-01-11 00:00:00,8168.01,143.67,14.8844,49.15,0.03701,9.723,0.04814
2020-01-11 04:00:00,8076.34,142.94,14.883,48.89,0.03687,9.751,0.04781
2020-01-11 08:00:00,8044.52,142.76,14.8571,48.25,0.03668,9.734,0.04758
2020-01-11 12:00:00,8101.1,143.7,14.9238,50.44,0.03707,9.748,0.04834
2020-01-11 16:00:00,8165.54,146.35,15.1979,51.34,0.03759,9.938,0.04922
2020-01-11 20:00:00,8026.42,142.74,14.9509,49.52,0.03676,9.675,0.04836
2020-01-12 00:00:00,8087.39,143.92,15.1705,50.64,0.037,9.788,0.04873
2020-01-12 04:00:00,8098.45,144.72,15.2717,50.98,0.03713,10.344,0.0488
2020-01-12 08:00:00,8118.42,143.45,15.2873,50.04,0.03701,10.224,0.04853
2020-01-12 12:00:00,8161.46,144.9,15.2984,50.9,0.03743,10.263,0.04919
2020-01-12 16:00:00,8127.79,144.7,15.165,50.12,0.03712,10.152,0.04874
