date,BTCUSDT,ETHUSDT,BNBUSDT,SOLUSDT,NEARUSDT,AVAXUSDT,OPUSDT,FETUSDT,LINKUSDT,AAVEUSDT,XRPUSDT,DOGEUSDT
2023-01-01 00:00:00,16521.36,1194.19,245.1529,9.9549,1.252,10.8,0.916,0.0917,5.56,51.95,,0.0697702
2023-01-01 04:00:00,16528.14,1195.32,243.9536,9.7805,1.242,10.69,0.914,0.092,5.51,51.23,,0.0694625
2023-01-01 08:00:00,16550.51,1196.17,244.2534,9.9404,1.252,10.71,0.914,0.092,5.58,51.23,,0.0695413
2023-01-01 12:00:00,16557.02,1196.59,244.3091,9.8688,1.257,10.77,0.914,0.092,5.59,51.95,,0.0697107
2023-01-01 16:00:00,16599.38,1201.98,245.0832,9.9382,1.281,10.89,0.929,0.0915,5.63,52.12,,0.0702946
2023-01-01 20:00:00,16617.57,1199.97,244.1924,9.9994,1.277,10.87,0.923,0.0912,5.62,52.03,,0.0700693
2023-01-02 00:00:00,16662.79,1201.75,243.641,9.9948,1.267,10.85,0.924,0.0912,5.63,51.39,,0.0700232
2023-01-02 04:00:00,16720.59,1212.84,246.4074,11.0766,1.306,11.13,0.94,0.0927,5.7,53.33,,0.0717791
2023-01-02 08:00:00,16731.46,1217.14,246.5995,10.9981,1.304,11.13,0.947,0.0954,5.7,53.46,,0.0717847
2023-01-02 12:00:00,16735.13,1218.65,246.7805,11.125,1.32,11.19,0.952,0.0939,5.68,53.31,,0.0723455
2023-01-02 16:00:00,16735.25,1218.85,246.6291,11.2843,1.319,11.2,0.963,0.0983,5.72,53.73,,0.0721649
2023-01-02 20:00:00,16677.87,1214.05,245.2174,11.2914,1.314,11.15,0.962,0.0969,5.71,53.1,,0.0713525
2023-01-03 00:00:00,16693.22,1215.82,245.7528,11.2347,1.309,11.12,0.961,0.0987,5.67,53.03,,0.0716801
2023-01-03 04:00:00,16728.09,1217.0,246.3132,11.9521,1.327,11.27,0.972,0.0973,5.69,53.42,,0.0719231
2023-01-03 08:00:00,16719.81,1214.97,245.5771,11.8432,1.338,11.28,0.965,0.0986,5.68,53.42,,0.0714062
2023-01-03 12:00:00,16678.01,1211.64,245.3037,13.1207,1.333,11.39,0.966,0.0998,5.64,52.57,,0.0708473
2023-01-03 16:00:00,16647.99,1209.48,245.033,12.95,1.318,11.29,0.948,0.1004,5.6,52.27,,0.0699459
2023-01-03 20:00:00,16674.12,1214.68,246.0136,13.3944,1.321,11.37,0.956,0.1023,5.59,52.44,,0.0705139
2023-01-04 00:00:00,16868.06,1250.87,257.1582,13.5818,1.421,11.84,1.016,0.1032,5.81,54.94,,0.0726888
